code,description
Z95.8,Sự có mặt của dụng cụ cấy và mảnh ghép tim và mạch máu khác
Z95.9,"Sự có mặt của dụng cụ cấy và mảnh ghép tim và mạch máu, không đặc hiệu"
Z96,Tồn tại của dụng cụ cấy ghép chức năng khác
Z96.0,Sự có mặt các dụng cụ cấy ghép tiết niệu sinh dục
Z96.1,Sự có mặt của thấu kính nội nhãn
Z96.2,Sự có mặt của dụng cụ cấy ghép tai và thính giác
Z96.3,Sự có mặt của họng nhân tạo
Z96.4,Sự có mặt của dụng cụ cấy ghép nội tiết
Z96.5,Sự có mặt của dụng cụ cấy chân răng và hàm má
Z96.6,Sự có mặt của dụng cụ chỉnh hình khớp
F11.5,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn tâm thần)
F11.6,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Hội chứng quên)
F11.7,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn loạn thần di chứng và khởi phát muộn)
F11.8,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn tâm thần và hành vi khác)
F11.9,Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện (Rối loạn tâm thần và hành vi không biệt định)
F12,Rối loạn tâm thần và hành vi do sử dụng cần sa
F12.0,Rối loạn tâm thần và hành vi do sử dụng cần sa (Nhiễm độc cấp)
F12.1,Rối loạn tâm thần và hành vi do sử dụng cần sa (Sử dụng gây hại)
F12.2,Rối loạn tâm thần và hành vi do sử dụng cần sa (Hội chứng nghiện)
F12.3,Rối loạn tâm thần và hành vi do sử dụng cần sa (Trạng thái cai)
F12.4,Rối loạn tâm thần và hành vi do sử dụng cần sa (Trạng thái cai với mê sảng)
F12.5,Rối loạn tâm thần và hành vi do sử dụng cần sa (Rối loạn tâm thần)
F12.6,Rối loạn tâm thần và hành vi do sử dụng cần sa (Hội chứng quên)
F12.7,Rối loạn tâm thần và hành vi do sử dụng cần sa (Rối loạn loạn thần di chứng và khởi phát muộn)
F12.8,Rối loạn tâm thần và hành vi do sử dụng cần sa (Rối loạn tâm thần và hành vi khác)
F12.9,Rối loạn tâm thần và hành vi do sử dụng cần sa (Rối loạn tâm thần và hành vi không biệt định)
F13,Rối loạn tâm thần và hành vi do sử dụng các chất an dịu hoặc các thuốc ngủ
F13.0,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Nhiễm độc cấp)
F13.1,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Sử dụng gây hại)
F13.2,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Hội chứng nghiện)
T08,"Gãy cột sống, mức độ chưa xác định"
T08.0,"Gãy cột sống, mức độ chưa xác định, gãy kín"
T08.1,"Gãy cột sống, mức độ chưa xác định, gãy hở"
T09,"Tổn thương khác của cột sống và thân, tầm chưa xác định"
T09.0,"Tổn thương nông tại thân, tầm chưa xác định"
T09.1,"Vết thương hở tại thân, tầm chưa xác định"
T09.2,"Sai khớp, bong gân và căng cơ của khớp chưa xác định và dây chằng của thân"
T09.3,"Tổn thương cột sống, tầm chưa xác định"
T09.4,"Tổn thương dây thần kinh chưa xác định, rễ dây thần kinh cột sống và tùng của thân"
T09.5,Tổn thương chưa xác định cơ và gân của thân
T09.6,"Chấn thương cắt cụt của thân, tầm chưa xác định"
T09.8,"Tổn thương khác xác định tại thân, tầm chưa xác định"
T09.9,"Tổn thương chưa xác định của thân, tầm chưa xác định"
T10,"Gãy xương của chi trên, tầm chưa xác định"
T10.0,"Gãy xương của chi trên, tầm chưa xác định, gãy kín"
T10.1,"Gãy xương của chi trên, tầm chưa xác định, gãy hở"
T11,"Tổn thương khác tại chi trên, tầm chưa xác định"
T11.0,"Tổn thương nông chi trên, tầm chưa xác định"
T11.1,"Vết thương hở chi trên, tầm chưa xác định"
T11.2,"Sai khớp, bong gân và căng cơ khớp chưa xác định và dây chằng chi trên, tầm chưa xác định"
T11.3,"Tổn thương dây thần kinh chưa xác định tại chi trên, tầm chưa xác định"
T11.4,"Tổn thương mạch máu chưa xác định tại chi trên, tầm chưa xác định"
T11.5,"Tổn thương cơ chưa xác định và gân tại chi trên, tầm chưa xác định"
T11.6,"Chấn thương cắt cụt tại chi trên, tầm không xác định"
T11.8,"Tổn thương khác đã xác định tại chi trên, tầm chưa xác định"
T11.9,"Tổn thương chưa xác định tại chi trên, tầm chưa xác định"
T12,"Gãy xương chi dưới, tầm chưa xác định"
T13,"Tổn thương khác chi dưới, tầm chưa xác định"
T13.0,"Tổn thương nông chi dưới, tầm chưa xác định"
T13.1,"Vết thương hở chi dưới, tầm chưa xác định"
T13.2,"Sai khớp, bong gân và căng cơ khớp chưa xác định và dây chằng chi dưới, tầm chưa xác định"
T13.3,"Tổn thương dây thần kinh chưa xác định tại chi dưới, tầm chưa xác định"
W41,Bị ảnh hưởng tia áp lực cao
W42,Ảnh hưởng tiếng ồn
W43,ảnh hưởng độ rung
F13.3,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Trạng thái cai)
F13.4,Rối loạn tâm thần và hành vi do sử dụng các chất an thần hoặc các thuốc ngủ (Trạng thái cai với mê sảng)
H26.4,Đục bao sau mổ đục thể thủy tinh ngoài bao
H26.8,Đục thể thủy tinh xác định khác
H26.9,"Đục thể thủy tinh, không đặc hiệu khác"
H27,Các bệnh khác của thủy tinh thể
H27.0,Không có thể thủy tinh
H27.1,Lệch thể thủy tinh
H27.8,Bệnh thể thủy tinh xác định khác
Z58.3,Phơi nhiễm với đất ô nhiễm
Z58.4,Phơi nhiễm với tia xạ
Z58.5,Phơi nhiễm với các ô nhiễm khác
Z51.5,Chăm sóc giảm nhẹ
Z51.6,Giải mẫn cảm các dị nguyên
Z51.8,Chăm sóc y học đặc hiệu khác
Z51.9,Chăm sóc y học không đặc hiệu
Z52,Hiến tạng và mô
Z52.0,Hiến máu
Z52.1,Hiến da
Z52.2,Hiến xương
Z52.3,Hiến tủy xương
Z52.4,Hiến thận
Z52.5,Hiến giác mạc
Z52.6,Hiến gan
Z52.7,Hiến tim
Z52.8,Hiến các tạng và mô khác
Z52.9,Hiến các tạng và mô không đặc hiệu
Z53,Người bệnh đến các cơ sở y tế do chưa được thực hiện những thủ thuật đặc hiệu
Z53.0,Chưa được thực hiện chống chỉ định
Z53.1,Chưa thực hiện do người bệnh chưa quyết định vì chưa tin tưởng hay vì áp lực của nhóm
Z53.2,Chưa thực hiện do người bệnh chưa quyết định vì những lý do khác không xác định
Z53.8,Chưa thực hiện vì những lý do khác
Z53.9,Chưa thực hiện vì lý do không xác định
Z54,Thời kỳ dưỡng sức
Z54.0,Dưỡng sức sau phẫu thuật
Z54.1,Dưỡng sức sau xạ trị liệu
Z54.2,Dưỡng sức sau hóa trị liệu
Z54.3,Dưỡng sức sau liệu pháp tâm thần
Z54.4,Dưỡng sức sau điều trị gãy xương
Z54.7,Dưỡng sức sau điều trị phối hợp
T27.7,"Ăn mòn đường hô hấp, phần chưa xác định"
T28,Bỏng và ăn mòn nội tạng khác
T28.0,Bỏng tại miệng và hầu họng
T28.1,Bỏng tại thực quản
T28.2,Bỏng tại phần khác của đường tiêu hóa
T28.3,Bỏng tại phần trong của đường tiết niệu sinh dục
T28.4,Bỏng nơi khác và các nội tạng chưa xác định
T28.5,Ăn mòn tại miệng và thanh quản
T28.6,Ăn mòn tại thực quản
T28.7,Ăn mòn tại phần khác của đường tiêu hóa
T28.8,"Ăn mòn tại phần trong của đường sinh dục, tiết niệu"
T28.9,Ăn mòn tại nơi khác và các nội tạng chưa xác định
T49.1,Ngộ độc Thuốc chống ngứa
T49.2,Ngộ độc Thuốc làm săn da tại chỗ và thuốc sát trùng tại chỗ
T49.3,"Ngộ độc Thuốc làm mềm da, làm dịu da và bảo vệ da"
T49.4,"Ngộ độc Thuốc làm tróc lớp sừng, tạo hình lớp sừng và thuốc và các chế phẩm điều trị tóc khác"
T49.5,Ngộ độc Thuốc và chế phẩm điều trị mắt
T49.6,"Ngộ độc Thuốc và chế phẩm điều trị tai, mũi, họng"
T49.7,Ngộ độc Thuốc nha khoa bôi tại chỗ
T49.8,Ngộ độc Thuốc dùng tại chỗ khác
T49.9,"Ngộ độc Thuốc dùng tại chỗ, chưa xác định"
X93,Tấn công bằng đạn súng tay
X94,"Tấn công bằng súng trường, súng ngắn và súng lớn hơn"
X95,Tấn công bằng súng khác và không rõ đặc điểm
X96,Tấn công bằng chất nổ
X97,"Tấn công bằng khói, cháy và lửa"
X98,"Tấn công bằng hơi nước, hơi nước nóng và vật nóng"
X99,"Tấn công bằng vật nhọn, sắc"
Y00,Tấn công bằng vật tù
Y01,Tấn công bằng đẩy từ chỗ cao
Y02,Tấn công bằng đẩy hay đặt nạn nhân trước vật đang chuyển động
Y03,Tấn công bằng đâm xe động cơ
Y04,Tấn công bằng sức cơ thể
Y05,Tấn công tình dục bằng sức người
Y06,Cẩu thả hay bỏ rơi
Y06.0,Do vợ - chồng hay người cộng tác
Y06.1,Do cha mẹ
Y06.2,Do người quen hay bạn
