rxcui,name,tty
1536545,4XLA Activator,BN
1117240,A+D Diaper Rash,BN
705892,A+D Original,BN
214907,A-Phedrin,BN
605082,A.E.R. Witch Hazel,BN
2723903,Aagylur,BN
1358725,Aardora Anti-Fungal Maximum Strength,BN
2536435,Abecma,BN
81507,Abelcet,BN
352393,Abilify,BN
2702595,Abirtega,BN
589511,Abraxane,BN
285039,Abreva,BN
2637871,Abreva Rapid Pain Relief,BN
2668066,Abrilada,BN
2642144,Abrysvo,BN
658745,Absorbine,BN
214953,Absorbine Jr.,BN
214954,Absorbine Jr. Antifungal,BN
993827,Absorbine Veterinary,BN
1361213,Absorbine Veterinary Liniment,BN
1299198,Absorica,BN
1053648,Abstral,BN
833083,ACAM2000,BN
810005,Acanya,BN
135092,Accolate,BN
2539944,Accrufer,BN
72210,Accupril,BN
151293,Accuretic,BN
202795,Accutane,BN
261438,Aceon,BN
225064,Acephen,BN
404825,Acetadote,BN
1116529,Acetadryl,BN
352396,Acid Gone,BN
261440,Aciphex,BN
214986,Acne-Clear,BN
1087771,Acneclir,BN
997961,Acnevir,BN
1043188,AcneWorx,BN
214988,Acnomel,BN
214916,ACT Fluoride Rinse,BN
895761,Actemra,BN
1040019,Acthar,BN
637866,ActHIB,BN
214998,Acticin,BN
1543946,Acticlate,BN
1251406,Actidose,BN
258348,Actimmune,BN
215008,Actiq,BN
204210,Activase,BN
1085416,Active Q,BN
1248586,ActiveOxy,BN
2119850,ActivICE,BN
707399,ActivOn Arthritis,BN
707406,ActivOn Joint & Muscle,BN
753143,Actonel,BN
602411,Actoplus Met,BN
261442,Actos,BN
152819,Acular,BN
858359,Acuvail,BN
605173,Aczone,BN
605718,Adacel,BN
2262426,Adakveo,BN
1364415,Adasuve,BN
2589380,Adbry,BN
1147324,Adcetris,BN
849863,Adcirca,BN
900431,Addaprin,BN
84815,Adderall,BN
1666386,Addyi,BN
1439889,Adempas,BN
258345,Adenocard,BN
215025,Adenoscan,BN
1085959,Adequan,BN
332,Adipex-P,BN
2597448,Adlarity,BN
1992165,Admelog,BN
353445,Adoxa,BN
2738420,Adquey,BN
1490053,Adrenalin,BN
42512,Adriamycin,BN
202632,Adrucil,BN
2644441,Adstiladrin,BN
2671586,Adthyza,BN
2557225,Aduhelm,BN
301543,Advair,BN
1098363,Advanced Eye Relief Redness Instant Relief,BN
1251583,Advantage Multi,BN
1942526,Advantus,BN
669348,Advate,BN
153010,Advil,BN
1487199,Advocin,BN
1741392,Adynovate,BN
1739804,Adzenys,BN
2670294,Adzynma,BN
2106357,Aemcolo,BN
542720,Afeditab CR,BN
845509,Afinitor,BN
2688106,Afluria 2024-2025,BN
2718395,Afluria 2025-2026,BN
2605553,Afluria Quadrivalent 2022-2023,BN
2641824,Afluria Quadrivalent 2023-2024,BN
1543203,Afrezza,BN
215051,Afrin,BN
1796380,Afstyla,BN
2644389,After banger,BN
1745094,After-bug,BN
1598653,Aftera,BN
1545298,Afterpill,BN
2047723,AfterPlan,BN
2669805,Agamree,BN
187024,Aggrastat,BN
1050948,Agrimectin,BN
1812269,Agrimycin,BN
215060,Agrylin,BN
1366495,Ahist Antihistamine,BN
2706535,Ahzantive,BN
2045628,Aimovig,BN
1918195,AirDuo,BN
1241480,Airmit,BN
2665908,Airsupra,BN
2056696,Ajovy,BN
204182,AK-Con,BN
2645245,Akeega,BN
2205643,Aklief,BN
1796726,Akovaz,BN
809470,Akten,BN
1552344,Akynzeo,BN
1942753,Ala Seb T,BN
215068,Ala-Cort,BN
1041509,Ala-Hist IR,BN
884074,Ala-Scalp,BN
2286593,Alahist D,BN
352401,Alavert,BN
608666,Alavert D,BN
707591,Alaway,BN
1484869,Albadry,BN
2739599,Albendamax,BN
151717,Albenza,BN
897080,Albon,BN
1117552,Albuked,BN
2054160,Albuminex,BN
404834,Alburx,BN
151314,Albutein,BN
203758,Alcaine,BN
581494,Alcortin,BN
1191043,Alcortin A,BN
17276,Aldactazide,BN
151317,Aldactone,BN
707263,Aldex AN,BN
404838,Aldurazyme,BN
1727480,Alecensa,BN
1543309,Alevazol,BN
215101,Aleve,BN
2550736,Aleve Arthritis Pain,BN
1550958,Aleve PM,BN
2049374,Alfaxan,BN
215103,Alferon N,BN
1112814,Algal-900,BN
2708348,Alhemo,BN
827148,Align,BN
323879,Alimta,BN
352403,Alinia,BN
1945082,Aliqopa,BN
215111,Alka-Mints,BN
17315,Alka-Seltzer,BN
151325,Alkeran,BN
2399645,Alkindi,BN
215115,Alkums,BN
470149,All Clear,BN
2602140,Allday,BN
324026,Allegra,BN
215122,Allegra-D,BN
215124,Aller-Chlor,BN
2289238,Aller-Cort,BN
1795958,Aller-Flo,BN
865258,Aller-Tec,BN
900604,Aller-Tec D,BN
1423324,Allercaine,BN
1369748,Allerclear,BN
215129,Allerest 12 Hour Nasal Spray,BN
833246,AllerNaze,BN
967374,Alleroff,BN
672553,Allfen CX,BN
705754,Allfen Jr,BN
708361,Alli,BN
2267587,Alloxate,BN
2279002,Allzital,BN
215155,Almacone,BN
1300289,Alo,BN
1487000,Alocane,BN
2728409,Alocane Anti-Itch,BN
2477935,Alocane Max Strength,BN
1539437,Alocane Plus,BN
262233,Alocril,BN
727248,Alodox,BN
1486842,Aloe Vesta Antifungal,BN
1485216,Aloe Vesta Daily Moisturizer,BN
866788,Aloe Vesta Protective Barrier,BN
1041513,Aloe Vesta Skin Conditioner,BN
71901,Alomide,BN
750168,Alophen Reformulated Jan 2008,BN
261446,Aloprim,BN
215168,Alora,BN
1297827,Alpha-caine,BN
153358,Alphagan,BN
153266,Alphanate,BN
215171,Alphanine SD,BN
1536002,Alprolix,BN
215176,Alrex,BN
716664,Altabax,BN
603899,Altacaine,BN
262418,Altace,BN
2099518,Altafluor,BN
1088143,Altalube,BN
215180,Altamist,BN
603917,Altazine,BN
541841,Altoprev,BN
1940626,Altren,BN
2055004,Altreno,BN
2631089,Altuviiio,BN
1921223,Alunbrig,BN
1087590,Aluvea,BN
2675188,Alvaiz,BN
356739,Alvesco,BN
2701439,Alyftrek,BN
2672100,Alyglo,BN
2599045,Alymsys,BN
2110450,Alyq,BN
153592,Amaryl,BN
131725,Ambien,BN
798979,Ambifed CD,BN
798975,Ambifed-G CD,BN
151338,AmBisome,BN
